   150000.094   -0.45737764E+01  -0.35328597E+01  -0.18874835E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.203   -0.62051672E+01  -0.51711540E+01  -0.35502809E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.297   -0.80064451E+01  -0.69789584E+01  -0.53858074E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.406   -0.72269252E+01  -0.61557268E+01  -0.44701549E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.500   -0.72443234E+01  -0.61738150E+01  -0.44883983E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.594   -0.86953781E+01  -0.76275720E+01  -0.59429611E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.703   -0.10299373E+02  -0.92152770E+01  -0.75174230E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.797   -0.11875138E+02  -0.10784113E+02  -0.90814145E+01   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150000.906   -0.13452852E+02  -0.12187035E+02  -0.10653483E+02   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150001.000   -0.15038708E+02  -0.12982364E+02  -0.12239404E+02   0.10000000E+03   0.15000100E+06   0.10000000E-06
   150001.094   -0.45669947E+01  -0.35271350E+01  -0.18853530E+01   0.10000000E+03   0.15000200E+06   0.10000000E-06
   150001.203   -0.62279886E+01  -0.51908799E+01  -0.35582842E+01   0.10000000E+03   0.15000200E+06   0.10000000E-06
   150001.297   -0.80432361E+01  -0.70032187E+01  -0.53609025E+01   0.10000000E+03   0.15000200E+06   0.10000000E-06
   150001.406   -0.98475259E+01  -0.87990752E+01  -0.71293970E+01   0.10000000E+03   0.15000200E+06   0.10000000E-06
   150001.500   -0.11560328E+02  -0.10487219E+02  -0.87854622E+01   0.10000000E+03   0.15000200E+06   0.10000000E-06
   150001.594   -0.13063019E+02  -0.11915620E+02  -0.10264092E+02   0.10000000E+03   0.15000200E+06   0.10000000E-06
   150001.703   -0.14429866E+02  -0.12698317E+02  -0.11636419E+02   0.10000000E+03   0.15000200E+06   0.10000000E-06
   150001.797   -0.15768259E+02  -0.13212330E+02  -0.12977324E+02   0.10000000E+03   0.15000200E+06   0.10000000E-06
